flightNumber,date,passengers,maxCapacity
DL9012,2014-03-31,105,208
WN789,2014-03-31,184,297
AS4567,2014-03-31,123,231
AA1234,2014-04-01,131,207
UA5678,2014-04-01,165,229
DL9012,2014-04-01,218,235
WN789,2014-04-01,130,225
AS4567,2014-04-01,245,234
AA1234,2014-04-02,135,265
UA5678,2014-04-02,188,280
DL9012,2014-04-02,118,253
WN789,2014-04-02,107,255
AS4567,2014-04-02,207,248
AA1234,2014-04-03,182,215
UA5678,2014-04-03,160,239
DL9012,2014-04-03,228,293
WN789,2014-04-03,136,248
AS4567,2014-04-03,102,255
AA1234,2014-04-04,179,216
UA5678,2014-04-04,153,262
DL9012,2014-04-04,198,277
WN789,2014-04-04,240,244
AS4567,2014-04-04,103,211
AA1234,2014-04-05,100,219
UA5678,2014-04-05,183,264
DL9012,2014-04-05,232,273
WN789,2014-04-05,167,228
AS4567,2014-04-05,153,293
AA1234,2014-04-06,244,203
UA5678,2014-04-06,141,214
DL9012,2014-04-06,150,296
WN789,2014-04-06,215,279
AS4567,2014-04-06,225,230
AA1234,2014-04-07,233,231
UA5678,2014-04-07,188,213
DL9012,2014-04-07,216,218
WN789,2014-04-07,172,285
AS4567,2014-04-07,203,212
AA1234,2014-04-08,128,259
UA5678,2014-04-08,225,211
DL9012,2014-04-08,165,211
WN789,2014-04-08,156,224
AS4567,2014-04-08,205,241
AA1234,2014-04-09,147,228
UA5678,2014-04-09,216,269
DL9012,2014-04-09,196,295
WN789,2014-04-09,100,248
AS4567,2014-04-09,155,289
AA1234,2014-04-10,151,271
UA5678,2014-04-10,116,234
DL9012,2014-04-10,188,289
WN789,2014-04-10,181,290
AS4567,2014-04-10,129,288
AA1234,2014-04-11,107,219
UA5678,2014-04-11,133,272
DL9012,2014-04-11,225,300
WN789,2014-04-11,118,258
AS4567,2014-04-11,245,285
AA1234,2014-04-12,163,214
UA5678,2014-04-12,150,279
DL9012,2014-04-12,160,286
WN789,2014-04-12,168,245
AS4567,2014-04-12,165,261
AA1234,2014-04-13,166,210
UA5678,2014-04-13,222,265
DL9012,2014-04-13,233,281
WN789,2014-04-13,170,254
AS4567,2014-04-13,151,251
AA1234,2014-04-14,121,216
UA5678,2014-04-14,151,280
DL9012,2014-04-14,144,278
WN789,2014-04-14,216,262
AS4567,2014-04-14,247,211
AA1234,2014-04-15,203,245
UA5678,2014-04-15,122,220
DL9012,2014-04-15,143,225
WN789,2014-04-15,177,231
AS4567,2014-04-15,209,245
AA1234,2014-04-16,166,289
UA5678,2014-04-16,204,268
DL9012,2014-04-16,147,220
WN789,2014-04-16,136,223
AS4567,2014-04-16,203,226
AA1234,2014-04-17,147,279
UA5678,2014-04-17,239,262
DL9012,2014-04-17,170,279
WN789,2014-04-17,118,223
AS4567,2014-04-17,151,255
AA1234,2014-04-18,215,229
UA5678,2014-04-18,115,246
DL9012,2014-04-18,238,230
WN789,2014-04-18,239,262
AS4567,2014-04-18,231,287
AA1234,2014-04-19,163,242
UA5678,2014-04-19,171,224
DL9012,2014-04-19,126,240
WN789,2014-04-19,238,242
AS4567,2014-04-19,112,252
AA1234,2014-04-20,192,267
UA5678,2014-04-20,115,213
DL9012,2014-04-20,219,268
WN789,2014-04-20,136,256
AS4567,2014-04-20,167,249
AA1234,2014-04-21,188,250
UA5678,2014-04-21,225,248
DL9012,2014-04-21,113,234
WN789,2014-04-21,135,289
AS4567,2014-04-21,159,263
AA1234,2014-04-22,135,260
UA5678,2014-04-22,243,259
DL9012,2014-04-22,203,205
WN789,2014-04-22,208,289
AS4567,2014-04-22,108,203
AA1234,2014-04-23,118,207
UA5678,2014-04-23,248,238
DL9012,2014-04-23,129,298
WN789,2014-04-23,126,300
AS4567,2014-04-23,143,209
AA1234,2014-04-24,173,249
UA5678,2014-04-24,204,227
DL9012,2014-04-24,138,201
WN789,2014-04-24,208,246
AS4567,2014-04-24,121,205
AA1234,2014-04-25,235,293
UA5678,2014-04-25,112,222
DL9012,2014-04-25,205,258
WN789,2014-04-25,175,289
AS4567,2014-04-25,154,276
AA1234,2014-04-26,111,229
UA5678,2014-04-26,133,291
DL9012,2014-04-26,126,296
WN789,2014-04-26,119,295
AS4567,2014-04-26,154,296
AA1234,2014-04-27,106,213
UA5678,2014-04-27,183,296
DL9012,2014-04-27,130,211
WN789,2014-04-27,236,232
AS4567,2014-04-27,158,228
AA1234,2014-04-28,161,228
UA5678,2014-04-28,230,256
DL9012,2014-04-28,149,266
WN789,2014-04-28,171,205
AS4567,2014-04-28,149,250
AA1234,2014-04-29,135,249
UA5678,2014-04-29,192,265
DL9012,2014-04-29,132,205
WN789,2014-04-29,117,282
AS4567,2014-04-29,172,284
AA1234,2014-04-30,160,299
UA5678,2014-04-30,121,240
DL9012,2014-04-30,176,262
WN789,2014-04-30,227,277
AS4567,2014-04-30,208,272
AA1234,2014-05-01,135,287
UA5678,2014-05-01,245,277
DL9012,2014-05-01,170,269
WN789,2014-05-01,201,291
AS4567,2014-05-01,173,265
AA1234,2014-05-02,178,201
UA5678,2014-05-02,104,255
DL9012,2014-05-02,175,213
WN789,2014-05-02,101,249
AS4567,2014-05-02,190,273
AA1234,2014-05-03,178,283
UA5678,2014-05-03,177,288
DL9012,2014-05-03,235,243
WN789,2014-05-03,202,272
AS4567,2014-05-03,197,230
AA1234,2014-05-04,126,202
UA5678,2014-05-04,123,213
DL9012,2014-05-04,126,263
WN789,2014-05-04,118,291
AS4567,2014-05-04,178,293
AA1234,2014-05-05,187,260
UA5678,2014-05-05,134,288
DL9012,2014-05-05,187,203
WN789,2014-05-05,198,263
AS4567,2014-05-05,123,253
AA1234,2014-05-06,127,214
UA5678,2014-05-06,133,245
DL9012,2014-05-06,171,257
WN789,2014-05-06,167,230
AS4567,2014-05-06,160,208
AA1234,2014-05-07,153,262
UA5678,2014-05-07,152,281
DL9012,2014-05-07,237,204
WN789,2014-05-07,217,202
AS4567,2014-05-07,244,250
AA1234,2014-05-08,153,285
UA5678,2014-05-08,233,246
DL9012,2014-05-08,110,202
WN789,2014-05-08,133,266
AS4567,2014-05-08,194,262
AA1234,2014-05-09,227,252
UA5678,2014-05-09,239,248
DL9012,2014-05-09,243,265
WN789,2014-05-09,240,293
AS4567,2014-05-09,211,226
AA1234,2014-05-10,135,247
UA5678,2014-05-10,175,228
DL9012,2014-05-10,248,202
WN789,2014-05-10,250,243
AS4567,2014-05-10,157,208
AA1234,2014-05-11,162,293
UA5678,2014-05-11,205,228
DL9012,2014-05-11,218,228
WN789,2014-05-11,115,204
AS4567,2014-05-11,223,266
AA1234,2014-05-12,220,226
UA5678,2014-05-12,225,295
DL9012,2014-05-12,174,259
WN789,2014-05-12,191,245
AS4567,2014-05-12,242,215
AA1234,2014-05-13,154,259
UA5678,2014-05-13,114,268
DL9012,2014-05-13,109,251
WN789,2014-05-13,150,265
AS4567,2014-05-13,198,286
AA1234,2014-05-14,239,257
UA5678,2014-05-14,152,300
DL9012,2014-05-14,125,264
WN789,2014-05-14,118,270
AS4567,2014-05-14,134,298
AA1234,2014-05-15,169,299
UA5678,2014-05-15,112,275
DL9012,2014-05-15,216,261
WN789,2014-05-15,202,224
AS4567,2014-05-15,196,200
AA1234,2014-05-16,194,213
UA5678,2014-05-16,231,246
DL9012,2014-05-16,118,284
WN789,2014-05-16,215,266
AS4567,2014-05-16,168,229
AA1234,2014-05-17,143,224
UA5678,2014-05-17,100,297
DL9012,2014-05-17,211,265
WN789,2014-05-17,205,241
AS4567,2014-05-17,141,246
AA1234,2014-05-18,244,263
UA5678,2014-05-18,245,236
DL9012,2014-05-18,228,268
WN789,2014-05-18,194,277
AS4567,2014-05-18,179,224
AA1234,2014-05-19,235,295
UA5678,2014-05-19,224,264
DL9012,2014-05-19,204,216
WN789,2014-05-19,168,287
AS4567,2014-05-19,137,223
AA1234,2014-05-20,179,275
UA5678,2014-05-20,107,229
DL9012,2014-05-20,175,256
WN789,2014-05-20,152,205
AS4567,2014-05-20,147,228
AA1234,2014-05-21,146,229
UA5678,2014-05-21,228,278
DL9012,2014-05-21,219,297
WN789,2014-05-21,214,215
AS4567,2014-05-21,163,210
AA1234,2014-05-22,137,227
UA5678,2014-05-22,211,285
DL9012,2014-05-22,163,232
WN789,2014-05-22,242,203
AS4567,2014-05-22,247,285
AA1234,2014-05-23,122,262
UA5678,2014-05-23,180,260
DL9012,2014-05-23,193,245
WN789,2014-05-23,214,241
AS4567,2014-05-23,103,288
AA1234,2014-05-24,153,281
UA5678,2014-05-24,170,272
DL9012,2014-05-24,218,226
WN789,2014-05-24,170,263
AS4567,2014-05-24,152,208
AA1234,2014-05-25,126,285
UA5678,2014-05-25,114,274
DL9012,2014-05-25,214,278
WN789,2014-05-25,164,277
AS4567,2014-05-25,136,238
AA1234,2014-05-26,151,232
UA5678,2014-05-26,116,217
DL9012,2014-05-26,150,279
WN789,2014-05-26,110,245
AS4567,2014-05-26,183,206
AA1234,2014-05-27,100,211
UA5678,2014-05-27,137,262
DL9012,2014-05-27,211,288
WN789,2014-05-27,136,207
AS4567,2014-05-27,143,254
AA1234,2014-05-28,148,200
UA5678,2014-05-28,182,294
DL9012,2014-05-28,207,287
WN789,2014-05-28,103,216
AS4567,2014-05-28,205,278
AA1234,2014-05-29,217,286
UA5678,2014-05-29,193,259
DL9012,2014-05-29,102,244
WN789,2014-05-29,111,217
AS4567,2014-05-29,158,284
AA1234,2014-05-30,159,292
UA5678,2014-05-30,205,222
DL9012,2014-05-30,170,299
WN789,2014-05-30,213,200
AS4567,2014-05-30,189,289
AA1234,2014-05-31,173,249
UA5678,2014-05-31,185,238
DL9012,2014-05-31,171,280
WN789,2014-05-31,188,226
AS4567,2014-05-31,193,209
AA1234,2014-06-01,225,288
UA5678,2014-06-01,190,237
DL9012,2014-06-01,124,274
WN789,2014-06-01,101,243
AS4567,2014-06-01,151,235
AA1234,2014-06-02,163,252
UA5678,2014-06-02,245,224
DL9012,2014-06-02,179,291
WN789,2014-06-02,152,235
AS4567,2014-06-02,212,211
AA1234,2014-06-03,173,233
UA5678,2014-06-03,100,290
DL9012,2014-06-03,249,257
WN789,2014-06-03,221,300
AS4567,2014-06-03,141,227
AA1234,2014-06-04,249,238
UA5678,2014-06-04,201,219
DL9012,2014-06-04,132,286
WN789,2014-06-04,108,239
AS4567,2014-06-04,240,215
AA1234,2014-06-05,202,245
UA5678,2014-06-05,119,235
DL9012,2014-06-05,191,203
WN789,2014-06-05,249,209
AS4567,2014-06-05,190,285
AA1234,2014-06-06,208,215
UA5678,2014-06-06,122,201
DL9012,2014-06-06,202,238
WN789,2014-06-06,247,230
AS4567,2014-06-06,141,245
AA1234,2014-06-07,161,248
UA5678,2014-06-07,149,243
DL9012,2014-06-07,106,204
WN789,2014-06-07,186,227
AS4567,2014-06-07,162,201
AA1234,2014-06-08,158,232
UA5678,2014-06-08,104,267
DL9012,2014-06-08,166,235
WN789,2014-06-08,214,229
AS4567,2014-06-08,158,234
AA1234,2014-06-09,111,246
UA5678,2014-06-09,231,267
DL9012,2014-06-09,198,259
WN789,2014-06-09,230,255
AS4567,2014-06-09,110,235
AA1234,2014-06-10,143,279
UA5678,2014-06-10,124,201
DL9012,2014-06-10,136,294
WN789,2014-06-10,195,272
AS4567,2014-06-10,156,206
AA1234,2014-06-11,176,234
UA5678,2014-06-11,215,237
DL9012,2014-06-11,249,235
WN789,2014-06-11,158,300
AS4567,2014-06-11,131,275
AA1234,2014-06-12,131,255
UA5678,2014-06-12,125,245
DL9012,2014-06-12,224,220
WN789,2014-06-12,168,293
AS4567,2014-06-12,211,216
AA1234,2014-06-13,119,290
UA5678,2014-06-13,180,288
DL9012,2014-06-13,241,275
WN789,2014-06-13,145,299
AS4567,2014-06-13,199,206
AA1234,2014-06-14,126,234
UA5678,2014-06-14,109,258
DL9012,2014-06-14,123,259
WN789,2014-06-14,198,248
AS4567,2014-06-14,212,291
AA1234,2014-06-15,187,254
UA5678,2014-06-15,203,299
DL9012,2014-06-15,184,297
WN789,2014-06-15,163,247
AS4567,2014-06-15,129,203
AA1234,2014-06-16,113,251
UA5678,2014-06-16,102,288
DL9012,2014-06-16,182,296
WN789,2014-06-16,244,207
AS4567,2014-06-16,116,250
AA1234,2014-06-17,130,300
UA5678,2014-06-17,159,300
DL9012,2014-06-17,167,210
WN789,2014-06-17,160,262
AS4567,2014-06-17,206,212
AA1234,2014-06-18,208,268
UA5678,2014-06-18,227,214
DL9012,2014-06-18,250,254
WN789,2014-06-18,178,268
AS4567,2014-06-18,145,269
AA1234,2014-06-19,109,203
UA5678,2014-06-19,216,234
DL9012,2014-06-19,112,252
WN789,2014-06-19,140,299
AS4567,2014-06-19,141,224
AA1234,2014-06-20,208,288
UA5678,2014-06-20,130,269
DL9012,2014-06-20,241,223
WN789,2014-06-20,216,263
AS4567,2014-06-20,100,282
AA1234,2014-06-21,192,281
UA5678,2014-06-21,109,300
DL9012,2014-06-21,139,274
WN789,2014-06-21,138,200
AS4567,2014-06-21,165,216
AA1234,2014-06-22,148,289
UA5678,2014-06-22,229,248
DL9012,2014-06-22,137,217
WN789,2014-06-22,182,298
AS4567,2014-06-22,226,245
AA1234,2014-06-23,124,254
UA5678,2014-06-23,116,223
DL9012,2014-06-23,110,211
WN789,2014-06-23,103,209
AS4567,2014-06-23,234,228
AA1234,2014-06-24,237,204
UA5678,2014-06-24,205,285
DL9012,2014-06-24,246,271
WN789,2014-06-24,148,228
AS4567,2014-06-24,204,234
AA1234,2014-06-25,152,265
UA5678,2014-06-25,232,256
DL9012,2014-06-25,104,281
WN789,2014-06-25,154,225
AS4567,2014-06-25,163,245
AA1234,2014-06-26,184,283
UA5678,2014-06-26,176,263
DL9012,2014-06-26,140,223
WN789,2014-06-26,213,293
AS4567,2014-06-26,194,208
AA1234,2014-06-27,197,291
UA5678,2014-06-27,184,243
DL9012,2014-06-27,216,223
WN789,2014-06-27,140,275
AS4567,2014-06-27,216,268
AA1234,2014-06-28,241,206
UA5678,2014-06-28,190,252
DL9012,2014-06-28,111,226
WN789,2014-06-28,131,240
AS4567,2014-06-28,154,249
AA1234,2014-06-29,105,257
UA5678,2014-06-29,118,285
DL9012,2014-06-29,149,266
WN789,2014-06-29,178,271
AS4567,2014-06-29,230,271
AA1234,2014-06-30,199,261
UA5678,2014-06-30,196,270
DL9012,2014-06-30,185,240
WN789,2014-06-30,113,292
AS4567,2014-06-30,191,242
AA1234,2014-07-01,155,219
UA5678,2014-07-01,125,235
DL9012,2014-07-01,216,290
WN789,2014-07-01,128,298
AS4567,2014-07-01,232,258
AA1234,2014-07-02,240,206
UA5678,2014-07-02,131,299
DL9012,2014-07-02,176,243
WN789,2014-07-02,210,201
AS4567,2014-07-02,245,275
AA1234,2014-07-03,109,296
UA5678,2014-07-03,245,276
DL9012,2014-07-03,102,231
WN789,2014-07-03,144,235
AS4567,2014-07-03,105,267
AA1234,2014-07-04,213,202
UA5678,2014-07-04,151,300
DL9012,2014-07-04,145,280
WN789,2014-07-04,160,247
AS4567,2014-07-04,168,264
AA1234,2014-07-05,212,223
UA5678,2014-07-05,102,292
DL9012,2014-07-05,250,275
WN789,2014-07-05,234,243
AS4567,2014-07-05,178,239
AA1234,2014-07-06,108,261
UA5678,2014-07-06,243,274
DL9012,2014-07-06,108,235
WN789,2014-07-06,117,253
AS4567,2014-07-06,211,258
AA1234,2014-07-07,237,264
UA5678,2014-07-07,194,284
DL9012,2014-07-07,216,274
WN789,2014-07-07,167,270
AS4567,2014-07-07,138,300
AA1234,2014-07-08,175,249
UA5678,2014-07-08,133,209
DL9012,2014-07-08,248,269
WN789,2014-07-08,144,203
AS4567,2014-07-08,216,200
AA1234,2014-07-09,113,257
UA5678,2014-07-09,204,208
DL9012,2014-07-09,166,211
WN789,2014-07-09,183,275
AS4567,2014-07-09,139,216
AA1234,2014-07-10,104,284
UA5678,2014-07-10,156,224
DL9012,2014-07-10,203,210
WN789,2014-07-10,117,291
AS4567,2014-07-10,100,286
AA1234,2014-07-11,111,253
UA5678,2014-07-11,148,207
DL9012,2014-07-11,192,283
WN789,2014-07-11,132,257
AS4567,2014-07-11,240,235
AA1234,2014-07-12,126,269
UA5678,2014-07-12,183,263
DL9012,2014-07-12,182,279
WN789,2014-07-12,189,278
AS4567,2014-07-12,248,269
AA1234,2014-07-13,196,289
UA5678,2014-07-13,144,296
DL9012,2014-07-13,174,272
WN789,2014-07-13,214,205
AS4567,2014-07-13,125,223
AA1234,2014-07-14,162,284
UA5678,2014-07-14,221,272
DL9012,2014-07-14,102,215
WN789,2014-07-14,155,293
AS4567,2014-07-14,223,287
AA1234,2014-07-15,189,217
UA5678,2014-07-15,130,237
DL9012,2014-07-15,164,213
WN789,2014-07-15,154,275
AS4567,2014-07-15,240,286
AA1234,2014-07-16,133,280
UA5678,2014-07-16,246,264
DL9012,2014-07-16,244,244
WN789,2014-07-16,224,260
AS4567,2014-07-16,240,213
AA1234,2014-07-17,140,201
UA5678,2014-07-17,250,270
DL9012,2014-07-17,126,204
WN789,2014-07-17,209,219
AS4567,2014-07-17,190,280
AA1234,2014-07-18,162,228
UA5678,2014-07-18,113,279
DL9012,2014-07-18,120,248
WN789,2014-07-18,178,279
AS4567,2014-07-18,190,275
AA1234,2014-07-19,208,246
UA5678,2014-07-19,155,267
DL9012,2014-07-19,147,267
WN789,2014-07-19,176,201
AS4567,2014-07-19,162,277
AA1234,2014-07-20,101,246
UA5678,2014-07-20,234,300
DL9012,2014-07-20,249,280
WN789,2014-07-20,146,210
AS4567,2014-07-20,197,234
AA1234,2014-07-21,229,203
UA5678,2014-07-21,143,208
DL9012,2014-07-21,107,247
WN789,2014-07-21,217,247
AS4567,2014-07-21,221,286
AA1234,2014-07-22,172,266
UA5678,2014-07-22,164,292
DL9012,2014-07-22,156,241
WN789,2014-07-22,238,241
AS4567,2014-07-22,204,202
AA1234,2014-07-23,201,284
UA5678,2014-07-23,217,232
DL9012,2014-07-23,186,227
WN789,2014-07-23,138,251
AS4567,2014-07-23,200,238
AA1234,2014-07-24,141,248
UA5678,2014-07-24,194,258
DL9012,2014-07-24,186,222
WN789,2014-07-24,107,234
AS4567,2014-07-24,249,276
AA1234,2014-07-25,152,270
UA5678,2014-07-25,187,257
DL9012,2014-07-25,140,203
WN789,2014-07-25,185,217
AS4567,2014-07-25,135,210
AA1234,2014-07-26,131,233
UA5678,2014-07-26,185,250
DL9012,2014-07-26,154,221
WN789,2014-07-26,234,226
AS4567,2014-07-26,161,240
AA1234,2014-07-27,140,267
UA5678,2014-07-27,172,256
DL9012,2014-07-27,136,208
WN789,2014-07-27,130,239
AS4567,2014-07-27,180,264
AA1234,2014-07-28,241,280
UA5678,2014-07-28,214,250
DL9012,2014-07-28,207,232
WN789,2014-07-28,177,207
AS4567,2014-07-28,214,215
AA1234,2014-07-29,211,223
UA5678,2014-07-29,228,273
DL9012,2014-07-29,221,256
WN789,2014-07-29,110,284
AS4567,2014-07-29,222,200
AA1234,2014-07-30,180,234
UA5678,2014-07-30,110,213
DL9012,2014-07-30,234,230
WN789,2014-07-30,205,227
AS4567,2014-07-30,207,300
AA1234,2014-07-31,182,266
UA5678,2014-07-31,191,264
DL9012,2014-07-31,154,250
WN789,2014-07-31,211,222
AS4567,2014-07-31,122,278
AA1234,2014-08-01,171,281
UA5678,2014-08-01,109,280
DL9012,2014-08-01,223,294
WN789,2014-08-01,228,300
AS4567,2014-08-01,135,292
AA1234,2014-08-02,137,213
UA5678,2014-08-02,248,234
DL9012,2014-08-02,182,215
WN789,2014-08-02,151,221
AS4567,2014-08-02,189,230
AA1234,2014-08-03,147,246
UA5678,2014-08-03,195,299
DL9012,2014-08-03,175,216
WN789,2014-08-03,188,226
AS4567,2014-08-03,225,260
AA1234,2014-08-04,158,237
UA5678,2014-08-04,175,242
DL9012,2014-08-04,105,280
WN789,2014-08-04,118,226
AS4567,2014-08-04,149,299
AA1234,2014-08-05,208,255
UA5678,2014-08-05,146,280
DL9012,2014-08-05,205,294
WN789,2014-08-05,157,272
AS4567,2014-08-05,213,222
AA1234,2014-08-06,145,212
UA5678,2014-08-06,243,261
DL9012,2014-08-06,210,286
WN789,2014-08-06,200,258
AS4567,2014-08-06,183,216
AA1234,2014-08-07,213,299
UA5678,2014-08-07,181,262
DL9012,2014-08-07,185,264
WN789,2014-08-07,231,300
AS4567,2014-08-07,210,201
AA1234,2014-08-08,210,212
UA5678,2014-08-08,238,223
DL9012,2014-08-08,231,259
WN789,2014-08-08,174,221
AS4567,2014-08-08,205,279
AA1234,2014-08-09,157,293
UA5678,2014-08-09,145,238
DL9012,2014-08-09,151,231
WN789,2014-08-09,136,291
AS4567,2014-08-09,126,226
AA1234,2014-08-10,221,214
UA5678,2014-08-10,243,228
DL9012,2014-08-10,115,282
WN789,2014-08-10,188,266
AS4567,2014-08-10,150,239
AA1234,2014-08-11,142,202
UA5678,2014-08-11,221,273
DL9012,2014-08-11,133,222
WN789,2014-08-11,197,240
AS4567,2014-08-11,178,219
AA1234,2014-08-12,157,210
UA5678,2014-08-12,206,300
DL9012,2014-08-12,233,246
WN789,2014-08-12,219,228
AS4567,2014-08-12,194,273
AA1234,2014-08-13,113,215
UA5678,2014-08-13,197,209
DL9012,2014-08-13,166,249
WN789,2014-08-13,198,295
AS4567,2014-08-13,161,226
AA1234,2014-08-14,165,218
UA5678,2014-08-14,169,206
DL9012,2014-08-14,128,214
WN789,2014-08-14,170,283
AS4567,2014-08-14,241,244
AA1234,2014-08-15,231,282
UA5678,2014-08-15,196,258
DL9012,2014-08-15,196,253
WN789,2014-08-15,245,201
AS4567,2014-08-15,146,265
AA1234,2014-08-16,130,208
UA5678,2014-08-16,197,240
DL9012,2014-08-16,131,300
WN789,2014-08-16,171,210
AS4567,2014-08-16,162,246
AA1234,2014-08-17,243,267
UA5678,2014-08-17,209,273
DL9012,2014-08-17,173,286
WN789,2014-08-17,141,294
AS4567,2014-08-17,213,239
AA1234,2014-08-18,233,214
UA5678,2014-08-18,211,254
DL9012,2014-08-18,177,293
WN789,2014-08-18,119,202
AS4567,2014-08-18,193,221
AA1234,2014-08-19,148,223
UA5678,2014-08-19,229,207
DL9012,2014-08-19,100,200
WN789,2014-08-19,214,281
AS4567,2014-08-19,198,242
AA1234,2014-08-20,240,205
UA5678,2014-08-20,119,287
DL9012,2014-08-20,187,264
WN789,2014-08-20,217,291
AS4567,2014-08-20,244,226
AA1234,2014-08-21,208,251
UA5678,2014-08-21,233,285
DL9012,2014-08-21,163,265
WN789,2014-08-21,213,280
AS4567,2014-08-21,231,263
AA1234,2014-08-22,217,237
UA5678,2014-08-22,163,212
DL9012,2014-08-22,172,248
WN789,2014-08-22,208,200
AS4567,2014-08-22,100,253
AA1234,2014-08-23,235,203
UA5678,2014-08-23,126,291
DL9012,2014-08-23,137,274
WN789,2014-08-23,131,263
AS4567,2014-08-23,237,223
AA1234,2014-08-24,163,253
UA5678,2014-08-24,250,258
DL9012,2014-08-24,195,256
WN789,2014-08-24,112,285
AS4567,2014-08-24,208,209
AA1234,2014-08-25,108,240
UA5678,2014-08-25,111,291
DL9012,2014-08-25,200,289
WN789,2014-08-25,163,296
AS4567,2014-08-25,125,215
AA1234,2014-08-26,120,200
UA5678,2014-08-26,152,274
DL9012,2014-08-26,142,290
WN789,2014-08-26,231,268
AS4567,2014-08-26,207,218
AA1234,2014-08-27,204,203
UA5678,2014-08-27,165,218
DL9012,2014-08-27,164,278
WN789,2014-08-27,125,295
AS4567,2014-08-27,205,200
AA1234,2014-08-28,223,243
UA5678,2014-08-28,117,291
DL9012,2014-08-28,156,207
WN789,2014-08-28,208,212
AS4567,2014-08-28,242,216
AA1234,2014-08-29,195,271
UA5678,2014-08-29,131,267
DL9012,2014-08-29,185,235
WN789,2014-08-29,162,250
AS4567,2014-08-29,167,245
AA1234,2014-08-30,105,228
UA5678,2014-08-30,135,230
DL9012,2014-08-30,186,237
WN789,2014-08-30,138,292
AS4567,2014-08-30,199,266
AA1234,2014-08-31,123,252
UA5678,2014-08-31,163,261
DL9012,2014-08-31,231,271
WN789,2014-08-31,108,221
AS4567,2014-08-31,239,246
AA1234,2014-09-01,249,237
UA5678,2014-09-01,106,271
DL9012,2014-09-01,193,277
WN789,2014-09-01,160,282
AS4567,2014-09-01,140,282
AA1234,2014-09-02,134,241
UA5678,2014-09-02,216,203
DL9012,2014-09-02,190,218
WN789,2014-09-02,110,273
AS4567,2014-09-02,183,254
AA1234,2014-09-03,215,267
UA5678,2014-09-03,193,289
DL9012,2014-09-03,203,225
WN789,2014-09-03,246,290
AS4567,2014-09-03,171,275
AA1234,2014-09-04,237,263
UA5678,2014-09-04,111,260
DL9012,2014-09-04,111,297
WN789,2014-09-04,140,201
AS4567,2014-09-04,192,295
AA1234,2014-09-05,239,267
UA5678,2014-09-05,247,201
DL9012,2014-09-05,105,287
WN789,2014-09-05,175,238
AS4567,2014-09-05,216,240
AA1234,2014-09-06,245,294
UA5678,2014-09-06,136,225
DL9012,2014-09-06,232,209
WN789,2014-09-06,187,244
AS4567,2014-09-06,180,204
AA1234,2014-09-07,245,205
UA5678,2014-09-07,175,244
DL9012,2014-09-07,129,273
WN789,2014-09-07,135,285
AS4567,2014-09-07,115,236
AA1234,2014-09-08,111,263
UA5678,2014-09-08,156,223
DL9012,2014-09-08,147,261
WN789,2014-09-08,234,241
AS4567,2014-09-08,156,221
AA1234,2014-09-09,217,212
UA5678,2014-09-09,173,275
DL9012,2014-09-09,217,280
WN789,2014-09-09,139,296
AS4567,2014-09-09,181,212
AA1234,2014-09-10,201,253
UA5678,2014-09-10,171,205
DL9012,2014-09-10,112,259
WN789,2014-09-10,135,225
AS4567,2014-09-10,143,217
AA1234,2014-09-11,243,235
UA5678,2014-09-11,118,237
DL9012,2014-09-11,118,269
WN789,2014-09-11,169,252
AS4567,2014-09-11,245,213
AA1234,2014-09-12,196,213
UA5678,2014-09-12,156,259
DL9012,2014-09-12,222,200
WN789,2014-09-12,214,277
AS4567,2014-09-12,106,256
AA1234,2014-09-13,136,254
UA5678,2014-09-13,170,224
DL9012,2014-09-13,235,259
WN789,2014-09-13,121,227
AS4567,2014-09-13,164,283
AA1234,2014-09-14,155,207
UA5678,2014-09-14,166,251
DL9012,2014-09-14,202,284
WN789,2014-09-14,242,284
AS4567,2014-09-14,153,291
AA1234,2014-09-15,103,289
UA5678,2014-09-15,130,281
DL9012,2014-09-15,201,249
WN789,2014-09-15,218,279
AS4567,2014-09-15,163,238
AA1234,2014-09-16,142,216
UA5678,2014-09-16,208,260
DL9012,2014-09-16,246,224
WN789,2014-09-16,140,278
AS4567,2014-09-16,118,265
AA1234,2014-09-17,102,203
UA5678,2014-09-17,189,236
DL9012,2014-09-17,190,241
WN789,2014-09-17,172,237
AS4567,2014-09-17,140,269
AA1234,2014-09-18,245,216
UA5678,2014-09-18,246,274
DL9012,2014-09-18,173,207
WN789,2014-09-18,183,274
AS4567,2014-09-18,163,204
AA1234,2014-09-19,128,202
UA5678,2014-09-19,106,282
DL9012,2014-09-19,168,215
WN789,2014-09-19,222,258
AS4567,2014-09-19,170,254
AA1234,2014-09-20,183,274
UA5678,2014-09-20,144,262
DL9012,2014-09-20,227,299
WN789,2014-09-20,107,275
AS4567,2014-09-20,115,248
AA1234,2014-09-21,162,260
UA5678,2014-09-21,122,239
DL9012,2014-09-21,237,203
WN789,2014-09-21,118,239
AS4567,2014-09-21,167,272
AA1234,2014-09-22,211,224
UA5678,2014-09-22,208,267
DL9012,2014-09-22,139,267
WN789,2014-09-22,139,291
AS4567,2014-09-22,145,236
AA1234,2014-09-23,246,202
UA5678,2014-09-23,105,237
DL9012,2014-09-23,140,299
WN789,2014-09-23,174,255
AS4567,2014-09-23,186,270
AA1234,2014-09-24,241,269
